Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2DNbiiujMiAGQBo9HARzsu,"Broken Cog - 2025 Remastered","Immutable - The Indelible Edition (2025 Remastered)","Meshuggah",2025-04-04,335146,31,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:24Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.349,0.919,10,-6.752,0,0.0474,0.00000288,0.9,0.185,0.565,174.035,3
spotify:track:3AXK0aNmcLGS4RkFyR1icP,"The Abysmal Eye - 2025 Remastered","Immutable - The Indelible Edition (2025 Remastered)","Meshuggah",2025-04-04,295680,32,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:24Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.307,0.934,1,-4.303,0,0.071,0,0.148,0.232,0.15,174.995,4
spotify:track:7AaLhXz2EP77ODECk6Mqb2,"Light The Shortening Fuse - 2025 Remastered","Immutable - The Indelible Edition (2025 Remastered)","Meshuggah",2025-04-04,268213,30,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:24Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.234,0.938,6,-5.076,1,0.0551,0.00000245,0.0103,0.162,0.322,133.524,4
spotify:track:4CrnMKLm2H2TXUBXtMpVAN,"Phantoms - 2025 Remastered","Immutable - The Indelible Edition (2025 Remastered)","Meshuggah",2025-04-04,293760,30,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:24Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.46,0.957,6,-5.29,0,0.0734,0.00000959,0.322,0.162,0.369,110.008,4
spotify:track:7MVYfDNk24AaMGYEmnk3Nr,"Ligature Marks - 2025 Remastered","Immutable - The Indelible Edition (2025 Remastered)","Meshuggah",2025-04-04,313026,31,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:24Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.564,0.877,6,-5.483,1,0.0349,0.0000567,0.645,0.11,0.65,150.011,4
spotify:track:72d9J4kKksYEb51lXA81is,"God He Sees In Mirrors - 2025 Remastered","Immutable - The Indelible Edition (2025 Remastered)","Meshuggah",2025-04-04,328480,29,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:24Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.197,0.964,9,-6.427,1,0.108,0.00000591,0.00521,0.0991,0.216,149.779,4
spotify:track:0SBifInWypTthIM2CL7Xpo,"They Move Below - 2025 Remastered","Immutable - The Indelible Edition (2025 Remastered)","Meshuggah",2025-04-04,575906,28,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:24Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.51,0.77,10,-7.245,1,0.0328,0.000083,0.886,0.133,0.0678,120.042,3
spotify:track:2GRsYzTvBJacWeg7LY0HIG,"Kaleidoscope - 2025 Remastered","Immutable - The Indelible Edition (2025 Remastered)","Meshuggah",2025-04-04,247053,28,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:24Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.385,0.977,5,-3.889,1,0.0763,0.00000483,0.0342,0.102,0.591,149.991,4
spotify:track:6dIHY1AD8ncgew5buRQVdX,"Black Cathedral - 2025 Remastered","Immutable - The Indelible Edition (2025 Remastered)","Meshuggah",2025-04-04,120533,24,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:24Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.17,0.168,9,-12.55,0,0.0476,0.00000181,0.898,0.349,0.263,68.474,5
spotify:track:0zaSPvzr6S2zrylbSvKwr7,"I Am That Thirst - 2025 Remastered","Immutable - The Indelible Edition (2025 Remastered)","Meshuggah",2025-04-04,280146,26,false,ug24jl8jlomdofcqmpbkxzwjd,2026-03-19T09:44:24Z,"djent,progressive metal,groove metal,metal,death metal,mathcore","Reigning Phoenix Music",0.177,0.955,6,-4.654,1,0.0601,0.00000143,0.0241,0.0509,0.372,94.121,4
