TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
0.000000000,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.023219955,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.046439909,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.069659864,-3840.62,-1.69638e-13,4.17652e-14,-1.51394e-13,1.82617e-13,-2.98056e-13,2.06231e-13,-2.52534e-14,1.08352e-13,-7.68979e-13,2.50952e-13,6.88207e-13,6.41378e-14,-4.7468e-13,2.62702e-13,-6.74661e-13,1.73668e-13,-2.49809e-13,-6.92633e-13,2.23848e-13,-2.32289e-12
0.092879819,-632.414,-27.5193,-0.824369,-3.48227,-1.27277,-3.62134,-2.00681,-0.947326,-0.0433689,-0.110184,1.70527,1.84411,2.6555,4.12783,3.49696,1.93111,1.35819,0.531191,1.596,0.809067,1.3481
0.116099773,-573.47,-30.0923,-1.08587,-3.88675,-0.604473,1.51938,0.444577,-1.90816,-0.650969,-2.89243,-1.45615,0.308763,1.48537,2.53515,1.33131,0.153357,-1.24085,-2.97437,-2.52766,-0.606952,0.124218
0.139319728,-553.722,-30.738,1.26001,-2.537,0.614873,-0.328429,1.26268,2.13951,-1.40572,2.0064,0.429118,1.45665,-2.14811,-4.03822,-4.1714,-2.6586,-2.75814,-1.17613,-0.337887,1.37565,0.33114
0.162539683,-551.677,-28.2572,1.23195,-2.54854,-2.73005,-3.01613,-2.00081,0.771978,0.0703247,0.19563,-0.647025,-0.178559,-0.786163,2.37197,-0.0190923,-0.155996,0.0148814,-0.42796,-3.31598,-1.50835,-1.4348
0.185759637,-550.619,-27.4659,2.06654,-4.37425,-1.71428,-2.16661,-3.09686,-0.879106,-0.600117,0.0964588,-1.02629,-0.771563,-2.32428,-0.168139,0.0782831,1.50621,-0.0842132,-0.145253,-0.635132,-0.740487,-1.786
0.208979592,-553.244,-29.6555,0.438579,-2.95934,0.628094,3.07777,-0.225706,1.64197,2.36286,2.67531,1.87009,2.88205,0.0646073,0.432543,-0.949477,1.22959,0.906337,2.22426,-2.05756,0.515809,0.690462
0.232199546,-552.628,-28.101,0.979823,-1.95333,-0.0300238,1.14684,1.14607,-0.0285594,0.533675,1.82232,0.452107,1.39702,0.88389,-0.33342,-0.198656,-1.67013,-1.34392,2.54855,0.394621,1.11172,1.06013
0.255419501,-553.837,-29.1749,-2.4204,-4.79045,-0.794759,3.02361,3.05721,3.49812,1.04775,2.53496,0.261063,1.29415,0.256615,-2.77656,-3.52811,-1.9781,-1.59125,0.178921,0.0248433,1.00838,-0.125133
0.278639456,-548.973,-26.7794,4.10857,-0.844114,-0.430309,-3.02437,-2.75054,0.0652322,0.693713,0.680205,0.56268,1.05071,-0.920919,-0.229061,0.139354,1.22244,0.555215,-0.0386492,-1.74803,2.17875,-0.0534253
0.301859410,-550.73,-29.3025,1.75071,-4.45524,-3.02711,-3.56888,-1.50297,-0.00857779,-1.43938,0.634377,2.9385,1.37399,1.32557,1.09119,0.418214,1.97529,1.51363,1.81026,-0.827531,-1.49989,-0.611518
