TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
0.417959184,0,0,0,0,0,0,0,0,0,0,0,0
0.464399093,0,0,0,0,0,0,0,0,0,0,0,0
0.510839002,0,0,0,0,0,0,0,0,0,0,0,0
0.557278912,1.2886,0.623684,0.369148,0.881617,0.77037,1.4436,0.836902,0.495617,0.330602,1.71664,0,0.0801893
0.603718821,1.84441,0.740741,0.932877,0.63167,0.584956,0.677878,0.547123,0.268511,0.650439,0.967506,0.0413979,0.148242
0.650158730,1.70219,0.964811,0.543229,0.785367,0.337621,0.484021,0.40565,0.199259,0.643055,0.95762,0.545941,0.108302
0.696598639,1.49443,1.11635,0.296947,0.875952,0.308424,0.300813,0.412614,0.161974,0.574048,0.740619,0.921676,0.2117
0.743038549,1.41684,0.978573,0.143835,0.896221,0.456272,0.113312,0.514239,0.174586,0.486077,0.451848,1.0465,0.463812
0.789478458,1.00076,1.06618,0.161123,0.61471,0.619458,0.0501753,0.524685,0.38137,0.133784,0.3629,1.21773,0.717925
0.835918367,0.735629,0.74761,0.25141,0.303857,0.540339,0.00456361,1.3881,0.418056,0.032336,0.375753,1.32203,0.807739
0.882358277,0.675428,0.364954,0.336194,0.154219,0.394404,0.0051612,1.91075,0.510963,0.0496645,0.341573,1.43134,0.570272
0.928798186,0.487589,0.871956,0.29321,0.0130277,0.359017,0.020081,2.05027,0.355849,0.152146,0.345256,1.49627,0.362133
0.975238095,0.292532,1.31818,0.0623956,0.11004,0.964405,0.02695,2.12084,0.466276,0.111456,0.350975,1.33978,0.197871
1.021678005,0.251956,1.23683,0.143712,0.314235,1.20213,0.035397,2.05014,0.265214,0.175072,0.338272,1.45094,0.109388
1.068117914,0.299423,1.23607,0.112188,0.564894,0.993728,0.130764,1.83802,0.145453,0.0518855,0.25131,1.78028,0.20531
1.114557823,0.194155,1.24166,0.978628,0.635829,0.386638,0.356899,1.56408,0.518719,0.0235575,0.0942097,1.72374,0.68014
1.160997732,0.181618,1.19569,1.12613,0.408503,0.0435062,0.456051,1.61576,0.657363,0.0761991,0.107844,1.34622,0.532214
1.207437642,0.491264,1.12886,0.96227,0.0807168,0.189775,0.111454,1.64261,0.78737,0.0966811,0.158461,1.09645,0.449018
1.253877551,0.993171,0.917222,0.587917,0.0996942,0.441934,0.213447,1.56278,0.741925,0.0769258,0.327579,1.12053,0.0785712
1.300317460,1.00875,0.70418,0.473945,0.234864,0.3681,0.202167,1.93755,0.44615,0.0335665,0.320205,1.0242,0.000338297
1.346757370,0.536572,0.696634,0.326094,0.68397,0.604803,0.0696677,1.93154,0.338003,0.11322,0.485163,1.11267,0.228537
1.393197279,0.162244,0.830557,0.271627,1.02594,0.725106,0.0956485,1.71261,0.567277,0.153284,0.558044,1.38178,0.345395
1.439637188,0.226945,1.20919,0.243705,0.947285,0.790726,0.0765412,1.42388,0.810843,0.460755,0.326989,1.31827,0.209554
1.486077098,0.0761999,1.51676,0.160326,1.03823,0.773788,0.116459,1.13664,1.00143,0.319472,0.191733,1.40241,0.324299
1.532517007,0.00549272,1.56549,0.193461,1.03907,0.521787,0.252234,1.09837,1.17008,0.0926097,0.319428,1.38678,0.507617
1.578956916,0.00378192,1.61977,0.479652,1.37649,0.488113,0.256068,0.84469,1.176,0.0228595,0.210264,1.17197,0.695637
1.625396825,0.0545947,1.48796,0.416977,1.60105,0.359619,0.0233973,0.81269,1.1884,0.0131686,0.412536,0.776292,0.614131
1.671836735,0.332513,0.665797,0.321517,1.30314,0.519931,0.163102,0.775391,1.39883,0,0.283269,0.385277,0.598975
1.718276644,0.207468,0.607284,0.757643,0.764057,0.575864,0.419035,0.813314,1.33621,0,0.202266,0.700695,0.914058
1.764716553,0.0766531,0.541445,0.874572,0.54953,0.603381,0.563297,0.870803,1.16836,0,0.197146,0.902083,1.02597
1.811156463,0.154795,0.421737,0.84855,0.614069,0.719061,0.486561,1.13889,0.843846,0,0.172255,1.3037,0.543802
1.857596372,0.370906,0.509987,0.267331,0.77145,0.705292,0.263022,1.1323,0.145079,0.308054,0.144439,1.87575,0.160946
1.904036281,0.590574,0.463852,0.406033,0.606575,0.510702,0.390154,0.81291,0.174023,1.01796,0.108791,1.5882,0.130833
1.950476190,0.906733,0.247281,0.468558,0.675389,0.390864,0.286793,0.519965,0.345211,0.982965,0.154196,1.15828,0.271645
