TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,1.76979,0.688677,0.759055,0.589033,0.503178,0.40944,0.549983,0.263462,0.476975,1.13796,0.0849889,0.106647
0.371519274,1.4241,1.34193,0.487051,0.651745,0.402629,0.354268,0.106331,0.285016,0.420059,1.03577,0.601912,0.010577
0.417959184,1.19522,1.23422,0.247675,0.809551,0.417063,0.339016,0.407849,0.167262,0.382745,0.809926,0.83722,0.162958
0.464399093,1.2732,0.951196,0.136251,0.935613,0.516636,0.11506,0.558772,0.180556,0.440152,0.523304,0.993427,0.328686
0.510839002,1.14856,0.978572,0.162593,0.850313,0.574869,0.0496729,0.589212,0.210612,0.242118,0.413259,1.12034,0.475418
0.557278912,0.799118,0.767312,0.343395,0.698421,0.349326,0.00239365,1.38079,0.237398,0.0316049,0.290689,1.18014,0.663525
0.603718821,0.604777,0.441394,0.379152,0.237307,0.222124,0.00598148,1.96706,0.389319,0.00589607,0.286351,1.38953,0.568598
0.650158730,0.415822,1.01024,0.29276,0.0180463,0.267052,0.0402962,2.06284,0.339762,0.121271,0.240992,1.35506,0.475191
0.696598639,0.174901,1.54172,0.0758349,0.0553355,1.03682,0.0312643,2.12584,0.584386,0.0083775,0.278785,1.08135,0.230625
0.743038549,0.315281,1.36568,0.105223,0.437381,1.16191,0.0312965,2.08863,0.449731,0.0100739,0.256743,1.23285,0.0929608
0.789478458,0.369926,1.17964,0.0704692,0.729111,0.923462,0.281428,2.00154,0.172204,0.011182,0.14603,1.62916,0.340006
0.835918367,0.171659,1.16307,1.04088,0.621419,0.449358,0.448928,1.81987,0.472363,0.0242518,0.0927535,1.65811,0.785141
0.882358277,0.140076,1.07312,1.14148,0.499818,0.00113269,0.509003,1.82025,0.584855,0.0854963,0.108108,1.25016,0.516475
0.928798186,0.545465,0.914358,1.01341,0.223593,0.10189,0.0874951,1.67762,0.670058,0.0846598,0.18741,1.00843,0.367497
0.975238095,0.994698,0.821831,0.591415,0.112512,0.347655,0.124446,1.59587,0.759825,0.0633517,0.347345,1.07954,0.104592
1.021678005,0.991036,0.612968,0.441061,0.273291,0.337726,0.17399,1.86006,0.691518,0.0393366,0.324541,0.933835,0.000229896
1.068117914,0.459363,0.365519,0.331036,0.81047,0.521931,0.137757,1.80726,0.617487,0.123906,0.280569,1.20235,0.298895
1.114557823,0.151186,0.546635,0.277162,1.04646,0.608838,0.0856087,1.62279,0.710169,0.589271,0.315244,1.47079,0.409281
1.160997732,0.275914,1.02954,0.234727,0.930081,0.76082,0.0817259,1.42515,0.792464,0.523199,0.225884,1.40326,0.282072
1.207437642,0.168562,1.48911,0.134193,1.16169,0.745803,0.146551,1.2387,0.949412,0.305062,0.22114,1.53932,0.154532
1.253877551,0,1.57994,0.157219,1.20266,0.45001,0.277559,1.14934,1.18126,0.0593283,0.297487,1.46262,0.323287
1.300317460,0,1.64745,0.39847,1.30158,0.464001,0.208021,0.862674,1.18201,0.021522,0.191055,1.25859,0.509618
1.346757370,0.0708696,1.46314,0.309,1.40372,0.401716,0.00295239,0.937279,1.29803,0.0136394,0.344609,0.79777,0.518616
1.393197279,0.308637,0.477541,0.518195,1.01296,0.483665,0.129894,0.825087,1.59743,0.0486351,0.177622,0.338254,0.63548
1.439637188,0.19896,0.559608,0.901896,0.656347,0.526255,0.357102,0.835973,1.59106,0,0.19857,0.720853,0.975772
1.486077098,0.152678,0.531538,0.976417,0.505885,0.509935,0.551118,0.920017,1.22034,0,0.185897,1.05054,1.14024
1.532517007,0.220834,0.442283,0.94118,0.569232,0.681784,0.587101,1.14177,0.843181,0,0.15251,1.19098,0.590935
1.578956916,0.372449,0.341858,0.419312,0.557127,0.851901,0.362211,1.14428,0.13723,0.196129,0.134314,1.80792,0.177589
1.625396825,0.530126,0.314993,0.386205,0.598753,0.579758,0.277521,0.97341,0.248542,0.84169,0.116791,1.53174,0.150317
1.671836735,0.855244,0.185259,0.479532,0.697656,0.50197,0.208546,0.492797,0.345572,0.921255,0.128281,1.10955,0.27051
1.718276644,0.635892,1.26373,0.358039,0.671707,0.26739,0.199212,0.505569,0.575723,0.45858,0.160676,1.10796,0.328832
1.764716553,0.2129,1.38924,0.342676,0.423268,0.272605,0.243299,1.35217,0.489357,0.0508241,0.277655,1.05158,0.0167402
1.811156463,0.279488,1.66632,0.372101,0.203171,0.41752,0.246066,1.52779,0.49205,0.0400886,0.309824,1.04503,0.0323581
